D,G,H,J
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 340, Introduction to Database Systems
,,,
,Student Id,,
,441002121,,
,431002571,,
,442004401,,
,451001731,,
,412004541,,
,431002351,,
,451003561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 344, Advanced Programming
,,,
,Student Id,,
,441002121,,
,431002571,,
,442004401,,
,412004541,,
,411002651,,
,431002351,,
,451001731,,
,451003561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 432, Software Security Engineering
,,,
,Student Id,,
,441000201,,
,431000621,,
,411003071,,
,441003371,,
,441003441,,
,411002111,,
,411001091,,
,402004251,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 433, Internet Technologies
,,,
,Student Id,,
,451003161,,
,411001091,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 474, Software Design and Architecture
,,,
,Student Id,,
,431001111,,
,431001571,,
,432004221,,
,441002351,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 478, Software Construction Laboratory
,,,
,Student Id,,
,411002151,,
,432004221,,
,432004361,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 480, Advanced Web Applications Engineering
,,,
,Student Id,,
,431001571,,
,412003641,,
,431001111,,
,411003071,,
,441003441,,
,412004231,,
,411002151,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 490, Internship
,,,
,Student Id,,
,411002801,,
,441003481,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 498, Senior Project I
,,,
,Student Id,,
,451000251,,
,441000201,,
,451003551,,
,432004361,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
